,,
,"December 31,"
Net Sales by Product:,2016
iPhone (1),54378
iPad (1),5533
Mac (1),7244
Services (2),7172
Other Products (1)(3),4024
Total net sales,78351
,
,
,
,"April 1,"
Net Sales by Product:,2017
iPhone (1),33249
iPad (1),3889
Mac (1),5844
Services (2),7041
Other Products (1)(3),2873
Total net sales,52896
,
,
,"July 1,"
Net Sales by Product:,2017
iPhone (1),24846
iPad (1),4969
Mac (1),5592
Services (2),7266
Other Products (1)(3),2735
Total net sales,45408
,
,
,"Sept 29,"
Net Sales by Product:,2017
iPhone (1),28846
iPad (1),4831
Mac (1),7170
Services (2),8501
Other Products (1)(3),3231
Total net sales (4),52579
,
,
,
,"December 30,"
Net Sales by Product:,2017
iPhone (1),61576
iPad (1),5862
Mac (1),6895
Services (2),8471
Other Products (1)(3),5489
Total net sales,88293
,
,
,
,"March 31,"
Net Sales by Product:,2018
iPhone (1),38032
iPad (1),4113
Mac (1),5848
Services (2),9190
Other Products (1)(3),3954
Total net sales,61137
,
,
,"June 30,"
Net Sales by Product:,2018
iPhone (1),29906
iPad (1),4741
Mac (1),5330
Services (2),9548
Other Products (1)(3),3740
Total net sales,53265
,
,
,"Sept 29,"
Net Sales by Product:,2019
iPhone (1),37185
iPad (1),4089
Mac (1),7411
Services (2),9981
Other Products (1)(3),4234
Total net sales (4),62900
,
,
,
,"December 29,"
,2018
iPhone (1),51982
Mac (1),7416
iPad (1),6729
"Wearables, Home and Accessories (1)(2)",7308
Services (3),10875
Total net sales (4),84310
,
,
,
,"March 30,"
,2019
iPhone (1),31051
Mac (1),5513
iPad (1),4872
"Wearables, Home and Accessories (1)(2)",5129
Services (3),11450
Total net sales (4),58015
,
,
,"June 29,"
,2019
iPhone (1),25986
Mac (1),5820
iPad (1),5023
"Wearables, Home and Accessories (1)(2)",5525
Services (3),11455
Total net sales (4),53809
,
,
,"Sept 29,"
,2019
iPhone (1),33362
Mac (1),6991
iPad (1),4656
"Wearables, Home and Accessories (1)(2)",6520
Services (3),12511
Total net sales (4),64040
,
,
,
,"December 28,"
,2019
iPhone (1),55957
Mac (1),7160
iPad (1),5977
"Wearables, Home and Accessories (1)(2)",10010
Services (3),12715
Total net sales (4),91819
,
,
,
,"March 28,"
,2020
iPhone (1),28962
Mac (1),5351
iPad (1),4368
"Wearables, Home and Accessories (1)(2)",6284
Services (3),13348
Total net sales (4),58313
,
,
,"June 27,"
,2020
iPhone (1),26418
Mac (1),7079
iPad (1),6582
"Wearables, Home and Accessories (1)(2)",6450
Services (3),13156
Total net sales (4),59685
,
,
,"Sept 29,"
,2019
iPhone (1),26444
Mac (1),9032
iPad (1),6797
"Wearables, Home and Accessories (1)(2)",7876
Services (3),14549
Total net sales (4),64698
,
,
,
,"December 26,"
,2020
iPhone (1),65597
Mac (1),8675
iPad (1),8435
"Wearables, Home and Accessories (1)(2)",12971
Services (3),15761
Total net sales (4),111439
,
,
,
,"March 27,"
,2021
iPhone (1),47938
Mac (1),9102
iPad (1),7807
"Wearables, Home and Accessories (1)(2)",7836
Services (3),16901
Total net sales (4),89584
,
,
,"June 26,"
,2021
iPhone (1),39570
Mac (1),8235
iPad (1),7368
"Wearables, Home and Accessories (1)(2)",8775
Services (3),17486
Total net sales (4),81434
,
,
,"Sept 25,"
,2021
iPhone (1),#VALUE!
Mac (1),#VALUE!
iPad (1),#VALUE!
"Wearables, Home and Accessories (1)(2)",#VALUE!
Services (3),#VALUE!
Total net sales (4),#VALUE!
